safe_anchor,page_rank,https_token,ratio_nullHyperlinks,nb_extCSS,links_in_tags,phish_hints,ratio_intRedirection,length_words_raw,ratio_extRedirection,google_index,ratio_extMedia,ratio_intHyperlinks,domain_registration_length,length_hostname,ip,longest_words_raw,avg_words_raw,avg_word_host,ratio_intMedia,longest_word_host,dns_record,ratio_extErrors,nb_hyperlinks,ratio_extHyperlinks,longest_word_path,length_url,ratio_intErrors,avg_word_path,domain_in_title,ratio_digits_url,domain_age,ratio_digits_host,url_complexity_score,suspicious_char_count,url_length_category,domain_trust_score,has_ip_flag,redirection_complexity,special_token_flag,subdomain_risk,ext_link_risk,page_deception_score
0.374,2,0,0.365,14,0.383,3,0.197,24,0.367,1,0.138,0.88,1917,40,0,20,8.38,2.72,0.161,19,1,0.063,51,0.474,14,27,0.038,7.19,1,0.384,6809,0.208,17,1,0,3,0,4,0,3,2.219,3
0.886,2,0,0.359,16,0.774,3,0.99,17,0.05,0,0.702,0.67,1132,21,0,24,5.86,4.15,0.595,3,1,0.271,4,0.121,8,186,0.282,8.23,0,0.37,4823,0.352,15,1,2,3,0,3,0,6,0.734,1
0.288,5,0,0.439,18,0.755,0,0.396,13,0.941,1,0.427,0.013,215,8,0,22,2.59,4.55,0.127,11,0,0.195,20,0.34,5,24,0.28,9.83,0,0.152,5201,0.243,17,2,0,3,0,3,0,6,3.097,1
0.529,0,1,0.395,0,0.113,2,0.391,11,0.099,0,0.633,0.155,2641,56,0,9,10.47,6.74,0.78,16,0,0.395,3,0.566,6,62,0.008,6.42,0,0.066,343,0.009,9,0,1,1,0,2,1,1,2.291,1
0.788,1,1,0.014,3,0.807,0,0.352,25,0.07,1,0.358,0.791,1396,50,0,20,10.66,4.28,0.506,19,1,0.334,76,0.003,5,172,0.233,9.14,0,0.48,2578,0.133,8,1,2,4,0,5,1,0,0.483,0
0.672,1,0,0.244,1,0.135,0,0.524,20,0.7,1,0.667,0.749,1946,13,0,22,8.57,7.94,0.969,17,1,0.333,30,0.766,19,23,0.151,4.31,0,0.213,1538,0.263,10,0,0,4,0,3,0,3,4.031,2
0.079,8,0,0.333,17,0.784,2,0.49,22,0.397,1,0.417,0.721,139,54,0,14,9.23,9.15,0.913,17,1,0.406,20,0.208,9,232,0.041,2.5,1,0.46,120,0.284,11,0,2,4,0,5,0,2,1.824,1
0.961,9,1,0.02,15,0.62,3,0.774,29,0.059,1,0.477,0.874,2755,12,0,18,10.15,5.65,0.566,4,1,0.381,38,0.401,8,61,0.138,7.85,0,0.094,4752,0.394,24,2,1,4,0,4,1,6,1.702,4
0.0,5,0,0.369,12,0.156,1,0.057,12,0.622,1,0.834,0.88,1044,57,0,7,5.87,6.87,0.102,11,1,0.16,58,0.454,11,28,0.229,6.02,0,0.223,6166,0.199,10,0,0,5,0,1,1,1,2.766,3
0.002,7,0,0.036,16,0.476,3,0.107,14,1.0,1,0.308,0.426,1565,29,0,10,11.03,9.44,0.915,16,1,0.182,7,0.97,12,172,0.083,5.87,0,0.433,3557,0.026,17,0,2,5,0,3,0,1,5.092,1
0.229,9,1,0.446,9,0.422,1,0.933,23,0.598,1,0.493,0.492,1569,54,0,12,6.36,5.38,0.628,9,1,0.146,69,0.4,16,133,0.208,9.4,0,0.122,6400,0.193,11,1,2,5,0,2,1,5,2.542,0
0.093,1,1,0.088,8,0.017,1,0.453,29,0.541,1,0.376,0.882,928,20,0,19,6.23,6.62,0.842,3,1,0.389,11,0.425,5,87,0.158,5.34,0,0.085,709,0.102,10,1,2,4,0,2,1,3,2.746,0
0.517,5,1,0.002,16,0.973,3,0.972,20,0.102,0,0.704,0.496,1271,40,0,7,10.94,5.2,0.619,16,0,0.416,56,0.004,9,207,0.326,6.58,0,0.312,1358,0.111,13,2,2,3,0,4,1,0,0.632,1
0.586,8,1,0.199,9,0.835,1,0.88,11,0.443,1,0.128,0.594,2948,39,0,17,9.93,7.13,0.39,8,1,0.009,9,0.797,15,36,0.313,8.4,0,0.25,4248,0.326,15,0,0,5,0,1,1,3,3.286,2
0.401,9,0,0.4,7,0.68,3,0.424,26,0.29,1,0.055,0.421,2090,20,1,12,7.85,7.87,0.083,8,1,0.475,15,0.028,15,36,0.371,4.36,0,0.306,5777,0.001,12,2,0,5,1,6,0,0,1.139,2
0.393,7,1,0.415,16,0.478,3,0.173,6,0.045,1,0.269,0.06,18,8,0,15,9.63,9.54,0.631,19,0,0.212,80,0.381,10,55,0.256,3.51,0,0.498,1246,0.141,11,2,1,4,0,1,1,6,1.445,1
0.751,1,0,0.34,15,0.7,2,0.465,3,0.674,1,0.497,0.163,395,16,0,13,5.55,5.11,0.646,13,0,0.143,91,0.502,16,191,0.038,5.3,0,0.392,215,0.001,17,3,2,1,0,2,0,4,2.997,1
0.833,0,0,0.235,9,0.681,2,0.264,10,0.253,0,0.815,0.115,1157,22,0,5,11.04,2.0,0.837,18,1,0.002,70,0.191,15,113,0.3,5.68,0,0.007,749,0.367,18,0,2,3,0,3,0,4,1.081,0
0.384,4,1,0.492,3,0.322,3,0.331,27,0.591,1,0.686,0.41,166,21,0,8,11.48,6.1,0.359,8,1,0.273,11,0.226,5,169,0.393,2.68,1,0.01,3763,0.288,14,1,2,4,0,5,1,3,2.133,2
0.108,9,0,0.17,18,0.056,2,0.329,29,0.811,0,0.394,0.928,591,58,1,7,4.84,5.22,0.209,16,0,0.436,53,0.874,19,42,0.161,8.85,0,0.109,3852,0.044,11,1,0,2,1,5,0,4,4.68,5
0.39,5,0,0.374,10,0.801,3,0.702,23,0.799,0,0.404,0.146,1555,49,1,15,7.42,8.7,0.429,4,1,0.209,0,0.341,3,248,0.088,8.87,1,0.361,457,0.272,16,0,2,4,1,1,0,3,2.83,2
0.609,6,1,0.321,15,0.319,3,0.091,14,0.908,1,0.69,0.215,1854,30,0,5,10.97,4.11,0.265,7,0,0.367,16,0.249,8,132,0.395,4.55,1,0.477,5515,0.154,15,1,2,3,0,7,1,2,2.93,0
0.686,8,0,0.057,4,0.878,0,0.05,15,0.545,0,0.337,0.357,1277,24,0,22,9.97,2.74,0.487,15,1,0.141,52,0.486,15,238,0.466,5.61,0,0.33,3263,0.069,14,3,2,3,0,4,0,6,2.689,1
0.515,7,0,0.225,11,0.692,3,0.983,13,0.102,1,0.259,0.808,2592,52,0,16,5.14,8.46,0.288,9,0,0.346,62,0.772,6,170,0.296,6.1,0,0.227,1622,0.207,18,2,2,3,0,4,0,0,2.866,0
0.574,0,0,0.475,14,0.018,1,0.022,7,0.511,1,0.914,0.151,712,24,1,14,4.94,6.84,0.044,12,1,0.455,20,0.424,4,73,0.09,6.42,0,0.13,5928,0.141,19,1,1,3,1,5,0,0,2.749,1
0.651,5,0,0.366,8,0.471,2,0.519,6,0.873,1,0.115,0.606,2097,30,0,20,6.0,6.96,0.87,19,0,0.177,25,0.871,14,166,0.169,8.92,1,0.066,4764,0.214,20,0,2,3,0,4,0,4,4.536,3
0.564,7,0,0.255,3,0.714,3,0.195,25,0.178,1,0.164,0.542,16,49,0,12,6.27,5.32,0.427,8,1,0.35,81,0.753,7,109,0.357,7.78,0,0.197,4597,0.382,15,0,2,5,0,4,0,5,2.965,2
0.35,1,0,0.341,13,0.932,2,0.591,15,0.743,1,0.342,0.921,2867,27,0,9,11.53,7.43,0.941,6,1,0.234,12,0.207,10,60,0.125,3.65,0,0.022,1348,0.053,14,0,1,4,0,5,0,2,2.341,1
0.601,8,1,0.174,19,0.891,3,0.203,29,0.619,1,0.303,0.526,939,37,0,24,6.23,4.6,0.378,5,0,0.112,99,0.477,5,79,0.175,2.21,1,0.316,3931,0.284,18,2,2,4,0,3,1,4,2.781,2
0.574,9,1,0.152,6,0.341,3,0.111,12,0.627,0,0.707,0.85,925,8,1,11,10.76,9.13,0.527,13,1,0.152,69,0.87,7,51,0.275,8.74,1,0.362,1274,0.221,12,1,0,3,1,2,1,3,4.016,1
0.036,5,1,0.413,13,0.694,0,0.923,26,0.53,1,0.582,0.515,2146,16,0,14,2.74,7.45,0.292,14,0,0.427,71,0.163,17,31,0.176,3.84,1,0.173,5211,0.095,18,1,0,4,0,4,1,2,1.976,0
0.832,8,1,0.237,10,0.946,1,0.096,6,0.347,0,0.338,0.247,713,26,0,16,10.85,4.91,0.647,8,1,0.116,18,0.254,4,25,0.332,9.53,0,0.261,438,0.267,17,0,0,3,0,3,1,3,1.572,1
0.493,1,1,0.141,19,0.94,3,0.429,4,0.134,1,0.243,0.625,2331,41,0,8,2.08,6.0,0.519,3,1,0.229,25,0.805,5,119,0.257,9.82,1,0.43,3583,0.263,8,0,2,4,0,2,1,2,2.912,1
0.341,1,0,0.424,10,0.424,2,0.792,18,0.237,1,0.073,0.265,1229,47,0,7,8.21,8.96,0.647,6,1,0.05,15,0.153,19,159,0.451,9.51,0,0.132,1145,0.274,11,1,2,4,0,3,0,1,0.983,1
0.512,5,0,0.32,3,0.901,1,0.311,8,0.054,1,0.591,0.913,1555,30,0,5,4.01,4.23,0.526,17,1,0.485,59,0.32,18,51,0.123,2.93,1,0.453,3274,0.12,17,2,0,4,0,6,0,4,1.553,2
0.122,6,1,0.007,7,0.12,3,0.103,23,0.326,1,0.12,0.26,2495,28,0,11,3.61,5.13,0.818,7,1,0.222,87,0.001,8,53,0.408,5.45,0,0.139,3723,0.171,8,0,0,4,0,5,1,5,0.877,1
0.465,1,0,0.102,3,0.926,3,0.655,17,0.575,1,0.123,0.228,2030,21,0,15,8.05,3.27,0.455,6,1,0.027,53,0.55,16,102,0.357,3.87,1,0.125,6670,0.071,19,0,2,4,0,3,0,5,2.827,1
0.924,6,1,0.38,13,0.108,2,0.632,6,0.426,0,0.38,0.304,206,38,0,19,4.96,7.3,0.031,15,0,0.463,32,0.096,9,126,0.382,4.88,1,0.019,1090,0.217,9,0,2,3,0,3,1,4,1.603,1
0.18,5,1,0.407,16,0.212,2,0.031,14,0.843,1,0.247,0.698,1914,9,0,5,7.72,3.5,0.39,8,1,0.121,62,0.504,8,230,0.181,5.49,1,0.08,3965,0.301,10,1,2,4,0,5,1,6,3.319,0
0.048,3,0,0.008,11,0.498,2,0.333,16,0.501,1,0.048,0.71,869,27,0,11,5.52,7.68,0.013,7,0,0.499,65,0.381,4,74,0.383,7.31,0,0.195,328,0.161,15,0,1,2,0,2,0,1,2.644,0
0.562,1,1,0.476,16,0.19,2,0.967,21,0.649,0,0.127,0.939,2178,13,0,17,6.95,7.54,0.344,15,0,0.046,53,0.389,7,105,0.079,4.92,1,0.496,4156,0.112,10,2,2,2,0,5,1,3,2.511,1
0.811,6,0,0.486,18,0.255,0,0.712,28,0.768,1,0.713,0.647,2362,15,1,21,2.84,5.9,0.877,15,0,0.249,14,0.848,10,243,0.247,5.95,1,0.143,821,0.197,16,2,2,4,1,7,0,0,4.329,1
0.796,6,0,0.148,9,0.085,0,0.025,29,0.629,1,0.257,0.11,682,45,0,19,6.85,4.22,0.879,19,1,0.468,23,0.993,18,72,0.129,6.64,1,0.131,6663,0.345,19,0,1,4,0,3,0,6,4.705,1
0.294,4,1,0.114,14,0.551,2,0.446,19,0.937,1,0.902,0.593,1220,27,0,12,11.11,7.02,0.456,12,0,0.138,73,0.755,3,152,0.417,5.41,1,0.203,1050,0.22,19,1,2,4,0,5,1,2,4.277,0
0.397,3,0,0.279,0,0.333,2,0.522,6,0.378,1,0.409,0.796,373,48,0,18,3.58,6.18,0.681,5,0,0.063,3,0.648,8,101,0.258,3.69,1,0.479,5072,0.007,9,1,2,4,0,4,1,3,2.763,1
0.279,7,0,0.074,16,0.858,2,0.736,13,0.949,0,0.201,0.683,167,7,0,18,8.1,4.33,0.778,11,1,0.061,54,0.295,9,37,0.199,9.81,0,0.132,706,0.117,15,1,0,3,0,5,0,4,2.844,1
0.279,4,0,0.085,17,0.746,0,0.864,26,0.37,0,0.941,0.752,784,19,0,17,3.79,5.17,0.359,4,1,0.288,24,0.138,13,228,0.309,8.5,1,0.057,4885,0.363,19,1,2,3,0,3,1,4,1.442,2
0.605,6,0,0.132,7,0.047,0,0.533,14,0.858,0,0.261,0.584,1894,38,0,13,3.6,6.7,0.872,19,0,0.082,32,0.78,16,41,0.401,7.21,0,0.032,1840,0.159,18,1,0,2,0,7,1,1,4.138,0
0.374,5,1,0.016,2,0.498,2,0.569,18,0.588,1,0.832,0.197,2222,58,0,13,8.23,5.37,0.257,6,0,0.473,37,0.374,3,26,0.218,4.25,0,0.063,6203,0.318,9,0,0,4,0,2,1,3,2.771,0
0.937,7,0,0.013,12,0.372,0,0.763,26,0.51,1,0.235,0.377,1364,48,0,20,10.81,2.7,0.932,10,1,0.212,2,0.962,16,79,0.195,9.07,0,0.204,3453,0.174,10,1,2,4,0,2,0,2,4.118,2
0.022,2,1,0.416,12,0.166,2,0.071,5,0.975,1,0.884,0.692,1116,55,0,22,9.2,3.78,0.744,4,1,0.249,83,0.155,8,52,0.448,2.21,0,0.232,6904,0.043,20,0,0,4,0,2,1,2,2.664,2
0.105,7,1,0.221,11,0.125,2,0.995,16,0.529,0,0.888,0.831,518,31,0,17,8.24,5.68,0.857,13,0,0.143,22,0.908,14,130,0.47,4.6,0,0.074,677,0.339,22,2,2,2,0,4,1,4,3.925,3
0.87,6,0,0.424,5,0.368,2,0.65,24,0.514,1,0.282,0.944,327,11,0,12,6.24,6.61,0.724,13,1,0.124,41,0.46,10,134,0.252,7.33,1,0.194,5184,0.287,25,2,2,5,0,5,1,3,2.532,1
0.155,5,1,0.372,8,0.468,1,0.818,25,0.038,0,0.101,0.659,2186,38,0,12,8.83,4.78,0.733,19,0,0.439,23,0.172,10,49,0.312,6.75,0,0.191,896,0.243,15,0,0,3,0,2,1,1,1.031,2
0.729,1,0,0.048,1,0.944,0,0.095,26,0.4,1,0.786,0.635,2894,42,0,13,3.79,5.34,0.208,14,1,0.309,28,0.196,5,163,0.02,2.32,0,0.171,1542,0.219,9,0,2,4,0,1,0,1,1.697,2
0.967,5,1,0.397,10,0.701,2,0.945,7,0.028,1,0.11,0.688,1258,14,0,21,4.02,9.47,0.038,17,1,0.345,32,0.231,18,22,0.102,8.84,0,0.109,2326,0.049,18,0,0,5,0,4,1,4,1.094,1
0.602,5,0,0.061,6,0.968,3,0.93,20,0.789,1,0.09,0.059,1597,9,0,17,10.52,7.68,0.039,11,1,0.175,67,0.954,13,110,0.402,3.14,0,0.259,1965,0.14,21,1,2,5,0,4,0,1,4.615,3
0.516,3,1,0.17,16,0.164,0,0.601,27,0.727,1,0.067,0.871,24,57,0,21,10.09,5.93,0.625,12,1,0.43,48,0.65,17,178,0.094,3.61,1,0.245,3906,0.163,12,1,2,4,0,7,1,4,3.834,1
0.207,7,1,0.014,13,0.906,2,0.514,5,0.466,1,0.449,0.624,598,37,0,19,9.42,8.53,0.636,8,0,0.125,40,0.171,8,120,0.381,4.67,0,0.283,1613,0.055,19,0,2,4,0,3,1,5,1.57,0
0.583,8,1,0.046,0,0.246,1,0.758,23,0.94,0,0.525,0.636,420,47,0,15,9.3,6.64,0.131,6,1,0.463,65,0.767,18,230,0.009,7.39,0,0.025,2220,0.11,10,2,2,4,0,2,1,5,4.644,1
0.598,5,0,0.178,5,0.148,0,0.575,21,0.558,1,0.977,0.78,801,31,1,17,8.11,8.06,0.576,6,0,0.278,17,0.226,13,51,0.057,7.01,0,0.006,1667,0.03,14,0,0,3,1,5,0,0,2.072,7
0.047,4,0,0.041,15,0.198,3,0.538,3,0.779,1,0.006,0.3,2647,8,0,9,11.45,4.85,0.002,19,0,0.093,69,0.337,4,90,0.047,9.92,1,0.119,2858,0.144,15,2,2,3,0,1,1,1,2.662,2
0.451,3,0,0.16,8,0.042,2,0.683,3,0.878,1,0.426,0.775,1132,53,0,17,9.71,2.43,0.128,6,0,0.442,4,0.984,15,205,0.213,4.95,0,0.036,2268,0.229,15,2,2,3,0,2,0,2,5.15,1
0.773,6,0,0.2,7,0.918,2,0.925,4,0.001,1,0.77,0.896,1758,9,0,17,4.08,4.63,0.916,17,1,0.204,53,0.636,7,48,0.149,4.82,1,0.194,2060,0.211,15,1,0,4,0,3,0,0,2.114,0
0.4,5,0,0.2,19,0.56,3,0.197,26,0.976,1,0.347,0.708,339,51,0,23,9.22,2.95,0.347,9,1,0.146,8,0.862,4,45,0.482,3.21,1,0.276,1931,0.078,19,3,0,5,0,5,1,3,4.684,0
0.012,5,0,0.211,13,0.537,2,0.639,21,0.086,1,0.064,0.878,862,40,0,18,6.19,4.28,0.561,19,1,0.058,57,0.471,16,155,0.419,2.36,0,0.441,4182,0.114,13,2,2,5,0,2,0,0,1.643,2
0.331,2,0,0.123,0,0.985,2,0.553,7,0.169,1,0.175,0.586,1970,31,0,15,7.92,8.48,0.082,16,1,0.181,18,0.666,16,161,0.374,3.02,1,0.05,3815,0.344,9,2,2,4,0,6,1,8,2.517,2
0.495,6,0,0.362,10,0.799,1,0.245,6,0.426,1,0.335,0.068,861,7,1,19,3.0,4.9,0.054,16,1,0.158,2,0.446,17,45,0.269,8.78,1,0.463,1577,0.134,6,0,0,4,1,0,0,1,2.348,1
0.609,6,0,0.044,6,0.605,1,0.188,24,0.103,1,0.111,0.036,282,17,0,16,7.55,8.85,0.4,12,1,0.327,39,0.071,4,115,0.28,7.98,0,0.322,1381,0.114,20,2,2,5,0,6,0,4,0.746,2
0.895,3,1,0.064,10,0.232,2,0.73,27,0.406,1,0.316,0.62,1034,18,0,21,4.52,8.09,0.053,8,0,0.412,30,0.8,12,226,0.328,7.65,0,0.147,6019,0.168,17,1,2,3,0,0,1,4,3.624,2
0.433,5,1,0.471,9,0.723,1,0.759,7,0.475,1,0.437,0.574,2933,55,0,22,5.28,7.34,0.757,19,1,0.461,87,0.205,9,36,0.451,3.0,1,0.28,6622,0.186,14,2,0,5,0,2,1,2,2.026,0
0.027,9,0,0.364,1,0.005,1,0.897,13,0.525,1,0.998,0.951,1331,43,0,10,10.03,4.2,0.411,13,1,0.157,44,0.696,8,202,0.246,2.9,1,0.268,5410,0.261,18,2,2,5,0,4,0,4,3.295,1
0.007,8,0,0.31,9,0.693,0,0.894,20,0.554,1,0.844,0.73,280,9,0,24,7.06,7.89,0.401,14,1,0.253,75,0.769,5,65,0.212,2.98,1,0.407,3061,0.25,17,2,1,5,0,4,0,3,3.668,3
0.257,2,0,0.111,11,0.003,2,0.923,11,0.302,1,0.193,0.798,1426,52,0,9,2.33,8.78,0.957,17,0,0.089,96,0.823,13,55,0.189,5.69,1,0.391,5693,0.11,19,1,1,2,0,4,0,0,3.162,0
0.138,2,0,0.019,15,0.818,3,0.401,8,0.335,0,0.61,0.309,989,33,0,17,4.8,3.96,0.832,5,1,0.017,79,0.255,9,34,0.126,6.63,1,0.25,2048,0.075,15,2,0,2,0,2,0,3,1.452,1
0.844,9,1,0.479,10,0.902,1,0.528,28,0.878,1,0.404,0.337,1112,39,0,16,6.44,7.26,0.029,11,1,0.233,24,0.174,19,202,0.488,8.68,1,0.198,4881,0.37,11,1,2,4,0,3,1,2,2.511,0
0.908,5,0,0.071,0,0.491,2,0.878,12,0.772,1,0.125,0.402,1455,15,1,20,9.41,7.18,0.778,14,0,0.232,62,0.335,5,85,0.487,2.75,1,0.369,3867,0.235,11,1,2,3,1,0,0,0,2.781,2
0.071,9,1,0.302,17,0.293,1,0.4,5,0.122,1,0.712,0.944,646,31,0,10,7.8,4.2,0.146,15,0,0.272,89,0.479,18,151,0.123,2.66,1,0.064,2974,0.031,10,1,2,3,0,1,1,3,1.953,2
0.782,6,0,0.343,13,0.177,2,0.989,5,0.847,1,0.352,0.58,224,24,0,8,11.41,3.23,0.845,15,1,0.424,17,0.786,16,37,0.381,9.39,0,0.089,5385,0.183,14,2,0,4,0,4,1,3,4.476,3
0.933,5,0,0.105,8,0.599,3,0.967,27,0.963,0,0.373,0.765,439,22,0,7,2.05,2.75,0.255,7,1,0.078,9,0.024,19,95,0.037,2.35,0,0.006,3769,0.338,19,0,2,4,0,6,0,6,2.076,2
0.871,2,0,0.311,4,0.201,2,0.896,12,0.951,0,0.55,0.277,109,58,1,17,5.58,5.95,0.255,8,0,0.368,7,0.914,5,58,0.321,4.21,1,0.103,3497,0.295,15,2,1,1,1,4,0,4,5.012,1
0.639,3,0,0.325,4,0.708,3,0.571,11,0.132,1,0.235,0.818,279,18,1,23,4.5,2.96,0.799,16,1,0.272,7,0.457,3,131,0.233,8.72,1,0.417,3419,0.16,18,2,2,4,1,4,0,0,1.907,2
0.104,2,0,0.488,16,0.483,0,0.382,15,0.717,1,0.157,0.195,2303,11,1,21,6.58,2.21,0.211,7,1,0.351,42,0.025,11,239,0.325,7.21,1,0.04,2143,0.195,15,2,2,3,1,1,0,3,1.86,1
0.648,0,0,0.376,9,0.093,1,0.131,26,0.173,1,0.871,0.107,2866,23,0,9,10.41,2.6,0.608,11,1,0.026,43,0.269,11,212,0.34,3.83,1,0.15,6543,0.046,20,1,2,4,0,3,0,2,1.179,2
0.187,7,1,0.488,11,0.681,0,0.252,28,0.034,0,0.674,0.867,1730,33,0,13,6.53,6.6,0.695,14,1,0.353,27,0.824,6,146,0.442,5.51,0,0.179,723,0.296,21,2,2,4,0,5,1,3,2.893,0
0.273,8,0,0.415,0,0.506,2,0.944,22,0.941,1,0.493,0.592,1464,44,0,19,9.04,7.37,0.533,10,1,0.444,73,0.476,8,243,0.29,2.61,0,0.105,6743,0.211,10,3,2,5,0,1,0,3,3.754,0
0.721,9,0,0.31,14,0.52,3,0.778,10,0.423,1,0.05,0.75,918,48,1,22,11.11,7.75,0.451,12,0,0.187,8,0.967,19,50,0.063,8.37,0,0.17,6475,0.037,18,2,0,4,1,3,0,1,3.934,1
0.09,9,0,0.277,11,0.95,3,0.595,24,0.769,0,0.877,0.52,1777,18,0,13,3.75,3.7,0.777,7,1,0.452,21,0.429,9,184,0.102,5.16,0,0.128,5717,0.054,13,2,2,4,0,4,1,6,3.277,3
0.602,6,0,0.274,19,0.393,3,0.799,12,0.302,1,0.248,0.942,2805,7,0,23,10.32,6.94,0.782,15,1,0.463,44,0.979,15,116,0.439,3.89,0,0.032,6666,0.351,19,1,2,5,0,5,1,3,4.004,4
0.891,6,1,0.247,5,0.915,0,0.28,28,0.132,0,0.996,0.492,2317,25,0,14,5.67,5.22,0.87,6,0,0.403,72,0.723,16,81,0.354,3.77,0,0.011,3964,0.19,18,1,2,2,0,1,1,3,2.836,1
0.093,7,0,0.108,13,0.501,0,0.455,20,0.163,0,0.433,0.478,1910,41,0,12,9.58,8.94,0.702,16,1,0.168,88,0.292,16,248,0.297,2.68,1,0.031,5733,0.24,17,1,2,4,0,4,0,0,1.37,0
0.196,8,0,0.215,18,0.705,1,0.462,26,0.602,1,0.519,0.09,902,46,0,11,10.25,8.28,0.787,6,1,0.115,7,0.113,6,234,0.373,8.4,1,0.092,4152,0.281,9,0,2,5,0,5,0,4,1.658,3
0.831,6,1,0.181,9,0.935,2,0.682,17,0.817,0,0.564,0.361,1614,45,0,18,7.79,5.97,0.505,16,1,0.433,64,0.677,15,75,0.352,6.8,1,0.062,1478,0.316,9,0,1,4,0,2,1,0,4.098,1
0.405,8,0,0.228,7,0.864,3,0.279,14,0.827,1,0.651,0.623,1210,16,0,7,10.79,2.36,0.363,7,1,0.467,35,0.438,5,33,0.211,9.82,1,0.372,3541,0.321,23,3,0,5,0,4,0,0,3.435,0
0.851,6,0,0.422,7,0.072,3,0.409,21,0.802,0,0.723,0.669,2930,25,0,24,8.44,6.18,0.616,17,0,0.224,7,0.758,11,68,0.328,2.91,1,0.383,991,0.321,16,2,1,3,0,3,0,4,4.102,0
0.223,8,0,0.371,6,0.112,1,0.724,4,0.344,1,0.438,0.879,1112,35,0,19,11.78,4.99,0.49,10,1,0.155,91,0.256,4,49,0.382,5.07,0,0.473,5863,0.293,20,2,0,5,0,3,0,2,1.611,2
